GeneratedTopic,YearMonth,Count
0,2010-11,2
0,2010-12,4
0,2011-01,5
0,2011-02,1
0,2011-03,1
0,2011-04,2
0,2011-05,1
0,2011-06,1
0,2011-07,1
0,2011-08,2
0,2011-10,3
0,2011-11,3
0,2012-02,1
0,2012-03,3
0,2012-04,4
0,2012-05,1
0,2012-06,1
0,2012-07,1
0,2012-08,2
0,2012-10,3
0,2012-11,3
0,2013-01,3
0,2013-02,3
0,2013-03,3
0,2013-04,3
0,2013-05,5
0,2013-06,1
0,2013-07,4
0,2013-09,3
0,2013-10,3
0,2013-11,1
0,2014-01,5
0,2014-02,4
0,2014-03,2
0,2014-04,3
0,2014-05,9
0,2014-07,4
0,2014-08,1
0,2014-09,1
0,2014-10,2
0,2014-11,2
0,2014-12,2
0,2015-01,2
0,2015-02,5
0,2015-03,4
0,2015-04,3
0,2015-05,2
0,2015-06,3
0,2015-07,2
0,2015-08,1
0,2015-09,2
0,2015-10,2
0,2015-11,3
0,2015-12,2
0,2016-01,4
0,2016-02,2
0,2016-03,3
0,2016-04,1
0,2016-05,4
0,2016-06,8
0,2016-07,1
0,2016-08,6
0,2016-09,6
0,2016-10,3
0,2016-11,3
0,2016-12,3
0,2017-01,4
0,2017-02,3
0,2017-04,5
0,2017-05,3
0,2017-06,7
0,2017-07,6
0,2017-08,4
0,2017-09,4
0,2017-10,2
0,2017-11,3
0,2017-12,3
0,2018-01,2
0,2018-02,1
0,2018-03,2
0,2018-04,2
0,2018-05,2
0,2018-06,4
0,2018-07,3
0,2018-08,3
0,2018-09,2
0,2018-10,9
0,2018-11,4
0,2018-12,4
0,2019-01,1
0,2019-02,3
0,2019-03,1
0,2019-04,3
0,2019-05,2
0,2019-06,2
0,2019-08,4
0,2019-09,2
0,2019-10,1
0,2019-11,3
0,2019-12,4
0,2020-01,4
0,2020-02,3
0,2020-03,1
0,2020-04,3
0,2020-05,3
0,2020-06,1
0,2020-07,2
0,2020-08,2
0,2020-09,1
0,2020-11,1
0,2021-01,3
0,2021-02,1
0,2021-03,1
0,2021-04,2
0,2021-05,3
0,2021-08,1
0,2021-09,3
0,2021-10,2
1,2010-09,1
1,2010-10,1
1,2011-01,1
1,2011-03,2
1,2011-04,1
1,2011-05,1
1,2011-06,2
1,2011-09,1
1,2011-10,1
1,2011-11,1
1,2011-12,2
1,2012-10,1
1,2013-02,1
1,2013-04,1
1,2013-11,1
1,2014-02,1
1,2014-08,1
1,2014-11,1
1,2014-12,2
1,2015-01,1
1,2015-04,1
1,2015-06,1
1,2015-07,1
1,2015-08,1
1,2015-10,1
1,2016-06,1
1,2016-08,2
1,2016-09,1
1,2017-05,1
1,2017-07,3
1,2017-11,1
1,2017-12,2
1,2018-05,1
1,2018-06,1
1,2018-07,1
1,2018-08,1
1,2018-09,1
1,2018-12,2
1,2019-05,1
1,2019-10,1
1,2019-11,2
1,2020-03,1
1,2020-08,1
1,2020-09,1
1,2020-10,1
1,2021-01,2
2,2010-10,1
2,2010-11,1
2,2011-01,1
2,2011-02,2
2,2011-03,1
2,2011-06,2
2,2011-10,1
2,2012-01,1
2,2012-04,1
2,2012-07,1
2,2012-10,2
2,2012-11,1
2,2013-01,2
2,2013-07,1
2,2013-08,2
2,2013-11,1
2,2014-01,1
2,2014-02,1
2,2014-05,1
2,2014-06,1
2,2015-01,1
2,2015-02,3
2,2015-03,1
2,2015-07,1
2,2015-10,1
2,2015-11,1
2,2016-02,2
2,2016-04,2
2,2016-05,2
2,2016-11,1
2,2016-12,1
2,2017-04,1
2,2017-05,1
2,2017-06,2
2,2017-09,1
2,2017-11,1
2,2018-03,1
2,2018-06,1
2,2018-09,2
2,2018-11,1
2,2019-05,1
2,2019-06,1
2,2019-09,1
2,2019-10,2
2,2020-03,1
2,2020-11,1
2,2021-01,1
2,2021-02,2
2,2021-04,2
2,2021-10,1
3,2010-09,1
3,2010-10,1
3,2010-12,1
3,2011-01,1
3,2011-06,1
3,2011-07,1
3,2011-08,4
3,2011-09,1
3,2011-11,1
3,2012-02,1
3,2012-03,1
3,2012-07,1
3,2012-08,1
3,2012-09,1
3,2013-01,1
3,2013-02,1
3,2013-03,2
3,2013-09,1
3,2013-10,1
3,2013-11,2
3,2014-05,1
3,2014-06,1
3,2014-11,1
3,2014-12,1
3,2015-03,1
3,2015-09,1
3,2015-11,1
3,2016-01,1
3,2017-06,1
3,2018-05,1
3,2018-07,1
3,2018-11,1
3,2019-05,3
3,2019-06,2
3,2019-09,1
3,2020-02,1
3,2020-04,2
3,2020-07,1
3,2020-10,1
